Average: 0.790630
Micro Average: 0.790630
Macro Average: 0.791815
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2380       60       21       20        6       14       41        8        7       47 
 1:      167     1993      109       78       17       50       10      139       20       21 
 2:       12       21     2248       87       11      130        9       13       21       52 
 3:       21       38       81     1565        7      745       34       25       73       15 
 4:       64      134      135      175     1861       84       45       15       58       33 
 5:        7       24       37      106        5     2347       44       10       19        5 
 6:      181       15       28       64       11      227     1894        2      155       27 
 7:       22      106      100      124        3       90        6     2135        5       13 
 8:       61       36       49      105        3       84      131        7     2095       33 
 9:      125       28      120       62        3       76       47       22       51     2070 
