Average: 0.108778
Micro Average: 0.108778
Macro Average: 0.107583
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:       96      104      107      122       84       82      137      176       92 
 1:       79      131      124      128      108      101      110      127       92 
 2:      118      115      123      113       79       59      139      159       95 
 3:      112      130      130      104       93       66      142      119      104 
 4:      110      147      111       82       83       66      112      162      127 
 5:      117      119      120       85      129       68      131      142       89 
 6:       95      129      111      106       99       75      119      140      126 
 7:       80      115      113      139      103       79      146      152       73 
 8:       91      126      124      125      119       90      107      115      103 
