Average: 0.905261
Micro Average: 0.905261
Macro Average: 0.905530
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2396       44       19       23        7        3       46        8        6       52 
 1:       34     2447       24       24       13        5        5       41        7        4 
 2:        6       14     2423       53       18       31        7       16        9       27 
 3:        7       34       38     2330       16      104       21       14       24       16 
 4:       10       80       36       37     2386       11       16        3        9       16 
 5:        1       15       29      108       11     2390       27       11        6        6 
 6:       43       22       13       51       14       95     2280        2       65       19 
 7:       10       82       43       51        6       26        4     2380        1        1 
 8:       12       23       31       88       19       27      100        5     2270       29 
 9:       57       24       93       48       14       34       22       13       28     2271 
