Confusion Matrix:
           0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100
   14:     0     0     7     0     0     0     0     0     0   301     0     0     0     0  1079     0    60     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   285     0    98    20     0     0    38     3     0   788   251     8     0     0     0    46     0     0    26    28     0    21     0     0     2    27     0     1     0     3    48     0     7     0     0     0     0     0    10     0     1     1     0     0     0     0     0     2     0   264    12     0     0    51     0     0     0     0     0     0     0     0   106     9    88
   15:     0     0     0     0   252     0     0     0    60     0     0     0     0     0     0  5014     0     0     0     0    72     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    34     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    32     0     1     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0
   16:     0     0    17     0     1     0     0     5     0     9     0     0     1     2     0     6  5179  1691     0     0  1264     0     0     0     0     0     0     0     0     0     0     0     0    18     0     0     0     0    85     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0    48     0    13     0     0     0     2    77     0     0     0     2     0     0   118    38     0     0     0   521     0     0     0     0     0     0     0     1     0     0   109     0     0     0     0     0     0     0     0     8     0     0     0   633     0    14
   17:   131     0     4     0     0     0     0     0     0   160     0     0   198    52     0   195    41  3250     0   150     1     0     0     0     9     0     0     0     0     0     0     0     0   258    82     0     0     0    83     0     0     0     1     0     0     0     0     0     0    87     0     0     0     3     2    58     0     2    24   188     0    89     0    39     0     0    37     0     0  2537     2     0     0     2    69     0     1   406     0     0     0     0    40     0     0     3     0     0     0    98     0     0     0     6     0     0     0     0     0    38     0
   18:     0     0     0     0    19     0     0     0     0     0     0     0     0     0     0     0     0     0  2472     0     0     5     0     0     6   352     0     0     0     0     0  1965     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    40     0     0     0     0     0    27     0     0     0    36     0   170     0     0     0     0     0     0     1     0     0     0     0     0     0
   19:  1306  1205     0     0     0     0     0     0     0     0     0     0     0    44     0     0     2     4     0  1916     0     0     0     0     6     0     0     0     0     0     0     0     0   180     0     0     0     0     0     0     0     0     0     0     0   149     0     0     0    94     0     0     0     0     0     0     0     0     0   175     0   781     0     0     0     0     0     0     0    21     1     0     0     0     0     0     0  4161     0     0     0     0     0     0     0     0     5     0     0     0     0     0     0     0    45     0     0     0     0     0     0
   20:     0     0     0     0   896     0     0     0     0     0     0    14     0     0   769     7    61     0     0     0  3440     0     0     0     0     0     0     0     0   376     0     0     0     0     0     0    24     0     0     0     0     0     0    18    49     4    11     7     0     0     4     2     0     0     0     0     3    69     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    11     0     0     0     0     0     0   486    28     0     0     0     0     0     0     0     0    88     0     0     0    11     0
   21:     0     0     1     0    11    84     0   200     0     0     5     2     0     0     0     0    17     1    41     0     2  1185     0     7     0    29    34     0     0     5    18    11     0     6     0    67     0     0     0     3     1     7    21     6     3     1    21     0   152     1     0     0     1     0     0     9     0     1     0     0     0     0     0     0     0    14     0     6     2    36     0    12    24    82    22     1     2     0     0     1    57    57   520    39     0    92     0   223     0     0     0    13     3    65     0    58     0     0     0    13     4
   22:     0     0     0     0    99     0    35   130     0     0     0     0     0     0     0     4     2     0     0     0     1     0  1843   123     0     0     0    19   152    43     0     0     1     0     2     0     0     8     0     2     0     0     0    52    77     0     0     0     0     0     0     0     0     0     0   135     0    14     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0   173     0     2    35   378     0    10    11     0   270     0    41     0     0     4   173    96     0     0     0    31     0     0     0     0
   23:     0     0     0     0     0     0   181     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0   878   246     0     0     0     0  1655     0    60     0   189     0    99   148     0   119     0     9     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     7     0     0     0     0     0     0     0     0    47     0     0     0     0     8     0     0     0     0   608    16    92     0   315   103     0     0     0     0     0     0     0
