Average: 0.918444
Micro Average: 0.918444
Macro Average: 0.918401
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      933        3        6        5        4        0        1       45        3 
 1:        6      957        0        0        0        0        3        8       26 
 2:       28        0      890       24       30       13        8        7        0 
 3:       10        2       19      857       28       58        9       11        6 
 4:        6        0       10       18      937        8       15        5        1 
 5:        3        0       13       98       19      859        7        1        0 
 6:       12        0        7       15       34       18      912        2        0 
 7:       14        2        1        1        0        1        1      974        6 
 8:        8       29        1        2        0        0        1       12      947 
