Average: 0.990200
Micro Average: 0.990200
Macro Average: 0.990096
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      975        0        2        0        0        2        0        1        0        0 
 1:        0     1133        1        0        0        0        1        0        0        0 
 2:        0        1     1013        3        0        7        3        4        1        0 
 3:        0        0        0     1002        0        5        0        1        2        0 
 4:        0        1        0        0      979        0        0        0        0        2 
 5:        1        0        0        5        0      882        3        0        0        1 
 6:        6        2        1        0        0        1      947        0        1        0 
 7:        0        2        4        2        2        1        0     1017        0        0 
 8:        0        0        4        2        0        0        0        0      967        1 
 9:        0        0        2        0        8        1        0        5        6      987 
