Average: 0.915323
Micro Average: 0.915323
Macro Average: 0.915439
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2398       56       16       17       11        2       42        7        7       48 
 1:       17     2495       24       13       13        2        7       26        4        3 
 2:        4       18     2473       26       20       19        4       13        5       22 
 3:        5       42       46     2352       17       71       20       14       22       15 
 4:        4       75       33       16     2437        4       12        3        8       12 
 5:        1       19       34       90       14     2391       32       12        6        5 
 6:       35       29       14       49       21       71     2297        2       68       18 
 7:        7       90       48       24        6       14        3     2408        2        2 
 8:        9       32       34       77       17       17       89        5     2291       33 
 9:       50       29       90       40       20       27       16       13       26     2293 
