Average: 0.881000
Micro Average: 0.881000
Macro Average: 0.881193
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      908        2       13        9        3        1        6       47       11 
 1:        8      907        0        2        0        0        2       19       62 
 2:       45        2      843       37       42       15        7        9        0 
 3:       12        3       25      815       32       81       17        9        6 
 4:       12        0       24       40      868       19       32        4        1 
 5:        5        1       12      129       13      821       17        1        1 
 6:       15        0       11       28       27       45      869        4        1 
 7:       36        5        0        3        1        1        1      942       11 
 8:       11       19        0        0        0        1        1       12      956 
