Average: 0.865556
Micro Average: 0.865556
Macro Average: 0.865925
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      923        3        8        9       10        0        0       43        4 
 1:       13      929        1        3        0        2        1       23       28 
 2:       44        0      767       58       57       56        6       12        0 
 3:       19        2       24      803       40      100        1        8        3 
 4:        6        1       10       31      929       13        4        5        1 
 5:        2        0        8      126       23      839        1        0        1 
 6:       15        0       10       53       95       64      759        3        1 
 7:       30        5        1        5        1        2        1      951        4 
 8:       16       48        2        8        2        2        2       30      890 
