Average: 0.329634
Micro Average: 0.329634
Macro Average: 0.296588
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
14:        0        0        0        3        0        0        0        0        0        0      252        0        0        4      153       24       44        3        0        0       21      104        0        2        0        0      141        0        0        0        0        0        0        1        0        0        9        0        0        0        0        0       28       53        0      137       10      150        0        0        0       88        0        0        0        0        0        3        0        0        0       71        0        0        0       20      305        0        7       89       86        0        0        0       52        0     1131        0        0        1        0        0        0        0        0        6        3        0        0        3      683        0        0        0        6        0        0        0        0        3        0 
15:        0        0        0       33       21        0        0        0        0        0        0        0       56        0        0     4772       35        0        0        0        0        0        0        0        0       12        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       73        0       47       97        0        0       92        0        0        0       67        0        0        0        0        1        0        0        0        0        0        0        1        0        0        0        4        0        0        0        0        0       91        0        2       21        0        0        0        0        0        0        0        0        0       28        0        0        0        0        0        0        6        0        9        0        0 
16:        0        0        0        0     1509        0        0        0        0        6        0        1      350        0        1        1     1779     3540        3        0        0       33        2        0        0        0       25       47        0        0        0        0        7        0        0        0        0        0        0        0        0        0        0        1       11      969        6        0        0        0        0       50       84        0        0        0        0      910        0        0        0        0        0        0        0       30        0        0       10        0       99        0        0        0      320        0        0        3        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        9        0        0        0        0       56        0        0 
17:      133       95        9      362        2        0        0        0        0        0        0        0        0        2        0        0        1     1984        0      586        0      177        0        0      485        0        0        0        0       14        0        0        0       79        0        0        0        0        0        0        0        0        0        0       13        0       68        0       47       60        0       65        0        0       25        0        0       86        0      111        0       19        0        0        0       37      446        0        0        0      189        0     2510        0        0        0        2      561        0       20        0        0       41        0        0        0        0        0       13       14        0        0        0       38       19        0        0       33        0        0        0 
18:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     3513        0        0        0        0        0        0      623        0       29        0        2        0      140        0        0        0        0        0        0        0        0       16        0        0        0        0        0        0        0       14        0       31        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       39        0        0        0        0        0        0        0        0        0        0        0        0      277        1        0        0        0        0        0      396        0        0        0        0        0        0        0        5       12        0        0        0        0 
19:        2     2305        0      590        0        0        0        0        0        0        0        0        0       80        0        0        0        0        0     5442        0        0        0        0      118        0        0        0        0        0        0        0        0       78        0        0        0        0        0        0        0        0        0        0        4       19        0        0        0      296        0        0        0        0        0        0        0        0        0        0        0      127        0        0        0        7       63        0        0        0        0        0        5        0        0        0        0      940        0        3        0        0        5        0        0        0        0        0        0        0        0        0        0        0       11        0        0        0        0        0        0 
20:        0        2        0        0      109        0        0        0        0        8        0        1        0        0        0        0      158       23        0        0     3366        0      900        0        0        0       28      100        2      190        0        0       40        0        0        0        0        0        0        0        3        0        0        8        7        0        0      137        0        0      462        0        0        0        0        0        0        9        0        0        0        0        0        0        0        0      141        0        5        0       62        0        0        0        1        0        0        0        0      103        0        0        0        0       14       74        0        0        0        2        0        0      267        0        0        7      139        0        0        0       10 
21:        0       15        0       38        0       14        0        0        0        0       28        0        3        0        0        0        0       36      149        0        0     1272        2        3        0        4        0        0        0       38        0        3        0        0        3        7       36       49        0       16        9       14        0        0      146        0        0        0      212        0        3        5        0        0       18        1        0       12        0        1        0        0        0        0        0        1        0        0        0        0        0        5       51        0        6        3       42        0        0       52       30       30       27       48        1        0      272      116        6        0        2       17       43      338        0       16        1       31        0        0       24 
22:        0        0        0        0        0        0        0       10        0        0        0        0        0        0        9        0      193        0        7        0        3      154      517      699        0       20        0        0        1       44        0        0        0        0        0        0        0       95        0        7       18        0        0       29        0        2        0       89        0        0       21        0        0        0       10        0        0        4        0        0        0        0        0        0        0        0       37        0        0        0        0        0      214        0      359        0       56        0        0      246      347        0        8        0      117        0        0       21        0       17       28      127       10        0        0        1      382       42        0       26        4 
23:        0        0       10        0        0        1      323        0        0        0      234        0        0        5        0       78        3        0        0        0        0       60      758      456        0        0        0        0      315      173        0        0      190        0        0       59        0       23        0       22        0       67        0        0       47        0      628        1       75        0       32        3        0        0       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       88        2        0        0        0       27      544        2        7        0      311        0        1       18        0        0        0        0        0      187       16        0        0 
