Average: 0.926111
Micro Average: 0.926111
Macro Average: 0.926041
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      928        4        9        7        2        0        0       43        7 
 1:        7      955        0        0        0        0        1        6       31 
 2:       27        0      886       30       31       11        8        7        0 
 3:        6        4       17      872       16       61        9       12        3 
 4:        3        0        8       14      945       10       20        0        0 
 5:        2        0        9       86       13      878       10        1        1 
 6:        6        0        6       10       23       18      937        0        0 
 7:       12        5        2        0        0        1        1      976        3 
 8:        4       22        0        0        0        0        0       16      958 
