Confusion Matrix:
           0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100
    0:  4578  2257     0     0     0     0     0     0     0     0     0     0     0   170     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   249     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    55     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    1:   358  4810     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0   495     0     0     0     0     0     0     0     0     0     0     0     0     0    16     0     0     0     0   244     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   295     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    2:     0     0  2492     0     0     0     0     0     0     0     0     0     0     0   754     0     5    68     0     0     0    45     0     2     0    73     4     0     0    24     0     0   148    10     2     0     1     0     4     0     0   422    32     0     0    38     2     0     6     2     0     1     0     0     0    10   356    18     4     0    12     1     0     0     0     1     0    25     0   117     0     0     0     0    98     0   154     0   265     0   223     0    14     8     0     0     0     0     4    86     0   121   203     0     1     0    62     0   154     4    38
    3:     1     3    46  5163     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0    51     0     0     0     0   761     0     0     0     0     0     0     0     0     2     2     0     0     2     0     0    14     0     0     0     0     0     0     0     0     2     0     0     0     0    58     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    45    63    11     0     0     0     6     0     0     0     0     0     0     0     0    85     0     0     0     0     0     0     0     0     0     4     0     0     0     0
    4:     0     0     0     0  3283     0     0     0    15     0     0     0     0     0     0     0     0     0     0     0    15     0     0     0     0     0     0     6     0    48     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     4   176     0     0     0     0     0     0     0     0    27     0     0     0     0     0
    5:     0     0     0     0     0  6329     0     0   223    27     2     0     0     0     0     6     0     0     0     0     0    11     0     0     0     0     1     0     0   178   114     0     0     0     0     0     0   137     3     0     1     0     2     0    20     0     0     0     0     0     1     3    24     0     0     0     0    12     0     0     0     0     0     0     0     0    10     0     0     0     1     0     0     0     0     0   173     0     1     4     0     0     0     0     0     0     9     0     4     0     0     0     0     0     0     0     0     0     0     0     0
    6:     0     0   192     0     0     0  3316   102     0     0     0     0     0     0     0     0     0     0     0     0     0     0    20     0     0     0     0     0     0     0     0     0    47     0     0     0     0     0     0    36    22     1     0     0     1     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   258     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0
    7:     0     0     0     0     0     0     0  2100     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0    35     0     0    41     0     0     0     0     0     0     0     0     0     0     2     0    13     0     0    89     0     0     0     0     0     0     0     0     0     0    14     0     0     0     0     0     0     0     0     0     0     0    12     0    28     0     0     0     0     0     0     0     0     7   159     0     0     0    79     0     3     0     0     0     0     0  1097     2     9     0    18   214     0     0     0     0
    8:     0     0     0     0     0     0     0     0  2134     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    9:     0     0     0     0     0     0     0     0     6  5162     0     0     0     0     0     0     0     0     0     0   113     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    34     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
