Average: 0.936222
Micro Average: 0.936222
Macro Average: 0.936214
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      948        3        7        6        2        0        0       31        3 
 1:        5      963        0        0        0        0        0        6       26 
 2:       18        0      894       31       31       13        6        7        0 
 3:        6        1       11      888       21       59        6        5        3 
 4:        1        0        5       12      959        8       14        1        0 
 5:        3        2        3       59       15      910        8        0        0 
 6:        6        0        6       12       23       15      938        0        0 
 7:       13        4        2        0        1        1        1      973        5 
 8:        6       28        0        0        0        0        0       13      953 
