Average: 0.934778
Micro Average: 0.934778
Macro Average: 0.934657
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      941        3       11        4        2        0        0       33        6 
 1:        5      958        0        0        0        0        0        6       31 
 2:       13        0      916       23       27        9        5        7        0 
 3:        6        1       22      861       18       71       13        5        3 
 4:        1        0       13       11      952        7       15        0        1 
 5:        4        0        6       59       13      909        7        0        2 
 6:        6        0        8        9       17       11      947        2        0 
 7:       16        4        2        0        0        1        0      969        8 
 8:        6       21        1        1        0        0        0       11      960 
