Average: 0.933556
Micro Average: 0.933556
Macro Average: 0.933483
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      944        4       10        5        1        0        1       28        7 
 1:        5      950        0        1        0        0        0        6       38 
 2:       18        0      914       21       25       10        7        5        0 
 3:        7        2       20      869       10       70       10        8        4 
 4:        3        0       10       10      949       10       18        0        0 
 5:        1        0       10       74       13      893        8        0        1 
 6:        6        0        8       11       14       17      942        1        1 
 7:       14        3        3        0        0        1        1      972        6 
 8:        3       17        0        0        0        0        0       11      969 
