Average: 0.909222
Micro Average: 0.909222
Macro Average: 0.909234
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      937        4       10        7        7        0        1       21       13 
 1:        7      952        0        1        0        1        1        3       35 
 2:       25        1      894       27       23       17        8        4        1 
 3:       11        1       20      823       33       88       15        5        4 
 4:        8        1       14       24      913       14       24        1        1 
 5:        3        0       13       88       18      862       15        1        0 
 6:        6        1        9       15       18       24      926        0        1 
 7:       35        7        3        5        1        0        3      940        6 
 8:       11       36        4        4        0        0        1        8      936 
