Average: 0.898222
Micro Average: 0.898222
Macro Average: 0.897989
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      901        4       27        8        1        0        5       39       15 
 1:        5      902        0        0        0        0        2       10       81 
 2:       22        0      875       27       35       23        7        6        5 
 3:       13        2       19      807       28       93       21        8        9 
 4:        5        0       14       13      921       10       28        7        2 
 5:        2        0       13      103       20      836       21        2        3 
 6:        9        0        7       12       17       24      929        1        1 
 7:       28        6        2        2        0        0        0      948       14 
 8:        7       12        1        1        0        0        1       13      965 
