Average: 0.984700
Micro Average: 0.984700
Macro Average: 0.984602
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      975        0        3        0        0        2        0        0        0        0 
 1:        0     1133        1        0        0        0        1        0        0        0 
 2:        1        3      996        7        0       10        9        6        0        0 
 3:        0        0        4     1000        0        3        0        1        2        0 
 4:        0        2        0        1      973        0        0        1        1        4 
 5:        1        0        1       12        0      873        4        0        0        1 
 6:        6        2        5        0        2        1      941        0        1        0 
 7:        0        6        5        8        1        2        0     1005        0        1 
 8:        1        0        6        2        0        1        0        0      963        1 
 9:        0        0        4        1        4        1        0        4        7      988 
