Average: 0.444614
Micro Average: 0.444614
Macro Average: 0.403187
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
14:        0        0        0        2        0        0        0       22        0      147       17        0        0        0     1184        0       61        0        0        0       10        0        0        0        0        0       91        0        0        0        0        0        0        0        8        0      108        0       32        0        0        0        6        0        0      315       14        8        0        0        0        0        0        0        0      118        0       60        3        0        0        9        0        0        0       58        0        0        0        0        2        2        0        0        7        0      966        0        0        5        0        0        0        7        0      316        0        0        0        7       11        0        0        9        0        0        0        0        0        0       91 
15:        0        0        0        0        4        0        0        0        1        0        0        0        0        0        0     4850        0        2        0        0       14        0        6        0        2        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       58        0        0        0        4        7        0       40        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      103        0      334       24        0        0        0        0        0        0        0        0        0        6        0        0        9        0        0        0        0        0        0        0        0 
16:        0        0        0        0        0        0        0        1        0       73        0        0       11        0       11        0     2825     4731        0        0     1041        2        0        0        0        1        1        0        0        0        0        0        0        3        0        4        0        0      616        0        0        0        0        0        3       63      195        0        0        0        0        0        0        0        2        0        0       80        0        0        0        0        0        0        0        4        0        0        7        0       45        0        1        0      133        0        0        4        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5 
17:        0        2        0        4        6        0        0        0        0        0        0        0       54       97        0       14      241     3932        0       62        0      175        0        0       32        0        0        0        0        0        0        0        0       99      166        0        0        0      159        0        0        0        8        0        0       36        0        0       21       21        0        0        0        1      224        1        0        0     1194       24        0        0        0        5        0        5        2       87        0        0        0       90        3       25       14        0        0     1458        2       26        0        0        0        0        0       56        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
18:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     3685        0        0       18        0        0        0      554        0        0        0        0        0      273        0        0        0        0        0        0        0        6        0        0        0        0        0        0        0        0       10        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       12        0        0        0        0        3        0        0      446        0        0        0        0        0       61        0        0        0        0        0       22        0        0        0        0        0        0        0        0        0        0        0        0        0 
19:     1661     1075        0      122        0        0        0        0        0        0        0        0        0      166        0        0       22        3        2       34        0        0        0        0       67        0        0        0        0        0        0        8        0       27        0        0        0        0       14        0        0        0        2        0        0        7        0        0        0      536        0        0        0       10        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        7        0        2        0        0        0        0        0     6312        0       18        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
20:        0        0        0        0      267        0        0        0        0        0        0        0        0        0        0        0        8       36        0        0     4373        0      221        0        0       10        2        0        0        0        0        0        0        0        0        3        0        0        0        1        0        0        0        0       15        5        0        0        0        0      816        0        0        0        0        1      125        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       49        0        0        0        0        0        0        0        0      434        0        0        0        0        0        0        0        0        0       11        0        0        0        0        0 
21:        0        0        0        1        0        1        0        0        0        0       64        0        0        2        1        0        7        0        9        0        0     2318        0        2        1        6        3        0        0        0        1        0        0        1        0        0        0      108        0        7        0       11       13        8       21        3       20        0       67        0        0        0        0        0       18        2        0        0        0        0        0        0        0        0        0        0        0       25        0        0        0       20       80        6       50        1       40        0        0       19       33       54       29       14        0       17       46       87        0        0        0       11        0       38        0        3        0       27        0        1        3 
22:        0        0        0        0       13        0        0        3        0        0        1        0        0        0        7        0        2        0        0        0       14        0      919      752        0        0        0        0        2        0        0        0        0        0        3        1        0        4        0       48        0        0        0       14      558        0        1        0        0        0      549        0        0        0       13       55       10        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        6        0        0        3      175        0        0       88       81       20        0        8        0       38        0        2        0       42        1        7       20        0        0        0      503        9        0        0        0 
23:        0        0        9        0        0        0       41       20        0        0      542        0        0        0        0        0      354        6        0        0        0        0      169     1154        0        0        0        0      612        5        0        0       65        0        1       99        0        3        0        5        0       11        0        0        2        3       91        8        0        0        0        0        0        0        0       19        0        0        0        0        0        0        0        0        0        0        0        9        0        0        0        0        0        0        2        0      122        0        0      639        0        0        0      427        0        0        0        0      163        0        0        0      160       36        0        0        0        4        0        0        0 
