Average: 0.910667
Micro Average: 0.910667
Macro Average: 0.910441
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      919        2       16        6        2        1        3       39       12 
 1:        5      915        0        0        0        0        1       10       69 
 2:       23        0      888       22       38       13        7        8        1 
 3:        7        2       18      833       23       78       21       11        7 
 4:        5        0       13       14      917       11       35        4        1 
 5:        3        0       10      100       17      848       19        1        2 
 6:        8        0        8       13       16       13      939        2        1 
 7:       22        3        0        1        0        0        0      963       11 
 8:        5       11        0        0        0        0        0       10      974 
