Average: 0.907604
Micro Average: 0.907604
Macro Average: 0.907861
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2389       49       16       26        5        5       49        7        5       53 
 1:       32     2452       25       27       12        3        6       39        5        3 
 2:        4       17     2441       45       20       25        6       14        6       26 
 3:        6       32       39     2349       14       93       18       13       26       14 
 4:        8       75       36       31     2403        9       17        3        7       15 
 5:        1       16       36      104       10     2391       22       12        7        5 
 6:       34       24       14       50       17       95     2271        2       78       19 
 7:        8       86       48       48        3       20        4     2384        2        1 
 8:       11       26       32       82       14       28       91        4     2284       32 
 9:       47       28       94       53       17       34       19       11       31     2270 
