Average: 0.939333
Micro Average: 0.939333
Macro Average: 0.939218
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      951        3       10        4        1        0        0       26        5 
 1:        4      964        0        0        0        0        0        5       27 
 2:       11        0      925       18       26       10        5        5        0 
 3:        5        1       22      872       20       59       12        6        3 
 4:        1        0        7       12      955        7       17        1        0 
 5:        3        2        7       61       14      903       10        0        0 
 6:        7        0        8       11       14       10      950        0        0 
 7:       13        3        2        0        1        1        0      973        7 
 8:        5       20        1        0        0        0        0       13      961 
