Average: 0.951667
Micro Average: 0.951667
Macro Average: 0.951649
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      965        3        7        3        1        1        0       15        5 
 1:        4      974        0        0        0        0        1        4       17 
 2:        4        0      946       17       17        9        6        1        0 
 3:        6        1       12      904       10       52        9        4        2 
 4:        2        0        7       13      960        5       10        3        0 
 5:        2        1        7       55       11      918        6        0        0 
 6:        3        0        2        8       11       10      966        0        0 
 7:       19        1        4        0        0        0        0      972        4 
 8:        4       27        0        0        0        0        0        9      960 
