Average: 0.674040
Micro Average: 0.674040
Macro Average: 0.635974
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
 0:     2723     3936        0        0        0        0        0        0        0        0        0        0        7       82        0        0        0        0        0       64        0        0        0        0        0        0        0        0        0        0        0        0        0       74        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      418        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:       40     4918        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      673        0        0        0        0        0        0        0        0        0        0        0        0        0       44        0        0        0        0      332        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      214        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        0     2412        0        1        0        0        1        0        0        0        0        0        0      206        0        4      638        0        0        0        0        0        5        0       64        0        0        1       42        0        1      150       11       22        0        0        0       22        0        0      231       19        5        1       12        0        0        1        2       13        6        0        0        0       17      160       15        3        0       18        1        0        0        0        1        0        0        0      332        0        0        0        0      110        9      342        0      272        0      228        0       64        3        0        5        2        0        0      101        0       94      214        0        0        0        2        0      177        0       74 
 3:        1       44       49     4472        0        0        0        0        0        0        0        0        1        3        0        0        0        0        3      143        0        0        3        0     1000        0        0        0        0        0        0        0        0        3        8        0        0        7        0        0        3        0        0        0        0        0        0        0        0       13        0        0        0        0      104        0        0        2        0        2        0        0        0        0        0        3        0        0        0        0        0       30       58       50        0        0        0        3        0        1        0        0        0        0        0        0      309        0        0        0        0        0        0        0        0        0        5        0        0        0        0 
 4:        0        0        0        0     2983        0        0        0       43        0        0        0        0        0        0       16        0        0        0        0       90        0        0        0        0        0        0        0        0      114        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        2      163        0        0        0        0        0        0        0        0      168        0        0        0        0        0 
 5:        0        0        1        0        0     6356        0        0      252       16        0        0        0        0        0       16        0        0        0        0        0        1        0        0        0        0        5        0        0       47       48        0        0        0        0        0        0      126        7       44        0        2       14        0        2        0        0        0        0        3        1        0       41        0        0        0        0        6        0        0        0        0        0        0        0        0       43        0        0        0       13        0        0        0        0        0      160        0       17       19        0        0        0        0        0        0       52        0        4        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        0       65        0        0        0     3276      226        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0      220        0        0        0        0        0        0      105       18        0        0        0        0        0        0        0        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       29        0        0        0        0       51        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0 
 7:        0        0        0        0        1        0        0     1568        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        7        0       53        0        0       33        0       17        0        0        0        0        0        0        0        0        0        0        2        0        0      141        0        0        0        0        0        0        0        0        0        0       28        0        0        0        0        0        0        0        0        0        0        0        2        0       36        0        0        0        0        0        0        0        0       41       52        0        0        0      121        0        7        0        0        0        0        0     1161        2       14        0       14      622        0        0        0        1 
 8:        0        0        0        0        0        0        0        0     2134        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0       56     4220        0        0        0        0        0        8        1        0        0        0      406        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      624        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
