Average: 0.929222
Micro Average: 0.929222
Macro Average: 0.929246
Confusion Matrix:
           0        1        2        3        4        5        6        7        8
 0:      949        3        6        4        2        0        0       33        3 
 1:        7      955        0        0        0        0        0        8       30 
 2:       20        0      876       34       35       18        7       10        0 
 3:        6        2       11      876       16       69       10        7        3 
 4:        1        0        8       15      951        8       16        0        1 
 5:        1        0        4       77       15      899        4        0        0 
 6:        7        0        7       11       24       21      929        1        0 
 7:       18        2        1        1        1        1        1      971        4 
 8:        8       22        1        0        0        0        0       12      957 
